Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,Champion
1,Boston Celtics*,29.3,67,15,63,19,9.41,-0.36,9.06,111.8,102.6,9.2,101.2,0.307,0.054,0.564,,0.518,14.1,31.3,0.244,,0.466,13,71.7,0.216,,Boston Garden,610571,14890,1
2,Milwaukee Bucks*,26,57,25,62,20,9.04,-0.35,8.69,111.4,102.7,8.7,102.1,0.369,0.052,0.552,,0.501,13.9,33.8,0.282,,0.473,16.6,67.4,0.281,,MECCA Arena,443064,10806,0
3,Los Angeles Lakers*,28.1,62,20,59,23,7.74,-0.91,6.84,113.3,105.8,7.5,102.7,0.317,0.056,0.575,,0.532,14.9,33.1,0.247,,0.484,13.5,69.8,0.239,,The Forum,691071,16855,0
4,Houston Rockets*,26,51,31,48,34,2.61,-0.51,2.1,110.1,107.6,2.5,103.5,0.317,0.04,0.536,,0.496,13.6,35.5,0.232,,0.497,14.8,67.2,0.243,,The Summit,604644,14747,0
5,Atlanta Hawks*,25.3,50,32,47,35,2.37,0.22,2.59,107.9,105.6,2.3,100,0.385,0.024,0.542,,0.493,15.3,34.9,0.282,,0.481,15.4,66.7,0.269,,Omni Coliseum,377351,9204,0
6,Philadelphia 76ers*,28,54,28,47,35,2.35,0.11,2.46,108.6,106.3,2.3,100.5,0.398,0.032,0.546,,0.49,16.1,37.3,0.302,,0.499,15.6,66.7,0.211,,The Spectrum,513459,12506,0
7,Denver Nuggets*,28.1,47,35,44,38,1.3,-0.42,0.89,107.1,105.9,1.2,106.7,0.307,0.039,0.527,,0.475,13,30.9,0.245,,0.495,16.9,64.1,0.266,,McNichols Sports Arena,531824,12971,0
8,Dallas Mavericks*,25.8,44,38,44,38,1.1,-0.4,0.7,112.1,111,1.1,102.2,0.364,0.061,0.562,,0.51,13.3,30,0.283,,0.508,13,66.8,0.201,,Reunion Arena,693052,16904,0
9,Detroit Pistons*,26.5,46,36,44,38,1.17,0.27,1.44,109,107.9,1.1,104.2,0.297,0.023,0.534,,0.488,13.3,33.5,0.232,,0.496,14.9,67.6,0.266,,Pontiac Silverdome,695233,16957,0
10,Portland Trail Blazers*,26.6,40,42,44,38,1.06,-0.45,0.61,109.2,108.2,1,104.5,0.384,0.038,0.554,,0.501,15.2,32.8,0.294,,0.507,16.4,66.3,0.275,,Memorial Coliseum,519306,12666,0
11,Seattle SuperSonics,26.6,31,51,41,41,-0.1,-0.37,-0.47,105.9,106,-0.1,97.4,0.33,0.042,0.53,,0.478,15.1,33.2,0.257,,0.492,15.7,68.7,0.282,,Seattle Center Coliseum,329296,8032,0
12,Utah Jazz*,26.3,42,40,40,42,-0.37,-0.3,-0.67,104.2,104.6,-0.4,103.3,0.38,0.024,0.536,,0.49,15.5,29.8,0.272,,0.477,15.4,67.2,0.258,,Salt Palace,477833,11654,0
